date,company,price
2019-03-25,FB,166.2899932861328
2019-03-25,TWTR,32.59000015258789
2019-03-25,SNAP,10.720000267028809
2019-03-25,ETSY,67.86000061035156
2019-03-26,FB,167.67999267578125
2019-03-26,TWTR,33.060001373291016
2019-03-26,SNAP,10.760000228881836
2019-03-26,ETSY,67.73999786376953
2019-03-27,FB,165.8699951171875
2019-03-27,TWTR,32.279998779296875
2019-03-27,SNAP,10.640000343322754
2019-03-27,ETSY,65.51000213623047
2019-03-28,FB,165.5500030517578
2019-03-28,TWTR,32.869998931884766
2019-03-28,SNAP,10.789999961853027
2019-03-28,ETSY,67.12999725341797
2019-03-29,FB,166.69000244140625
2019-03-29,TWTR,32.880001068115234
2019-03-29,SNAP,11.020000457763672
2019-03-29,ETSY,67.22000122070312
2019-04-01,FB,168.6999969482422
2019-04-01,TWTR,33.439998626708984
2019-04-01,SNAP,11.359999656677246
2019-04-01,ETSY,68.16000366210938
2019-04-02,FB,174.1999969482422
2019-04-02,TWTR,33.75
2019-04-02,SNAP,11.220000267028809
2019-04-02,ETSY,69.7300033569336
2019-04-03,FB,173.5399932861328
2019-04-03,TWTR,34.380001068115234
2019-04-03,SNAP,11.15999984741211
2019-04-03,ETSY,69.45999908447266
2019-04-04,FB,176.02000427246094
2019-04-04,TWTR,34.41999816894531
2019-04-04,SNAP,11.279999732971191
2019-04-04,ETSY,68.30000305175781
2019-04-05,FB,175.72000122070312
2019-04-05,TWTR,34.720001220703125
2019-04-05,SNAP,11.84000015258789
2019-04-05,ETSY,68.22000122070312
2019-04-08,FB,174.92999267578125
2019-04-08,TWTR,34.86000061035156
2019-04-08,SNAP,12.270000457763672
2019-04-08,ETSY,67.6500015258789
2019-04-09,FB,177.5800018310547
2019-04-09,TWTR,35.13999938964844
2019-04-09,SNAP,12.350000381469728
2019-04-09,ETSY,66.69000244140625
2019-04-10,FB,177.82000732421875
2019-04-10,TWTR,34.75
2019-04-10,SNAP,12.020000457763672
2019-04-10,ETSY,68.20999908447266
2019-04-11,FB,177.50999450683594
2019-04-11,TWTR,34.58000183105469
2019-04-11,SNAP,11.899999618530272
2019-04-11,ETSY,67.6500015258789
2019-04-12,FB,179.10000610351562
2019-04-12,TWTR,34.369998931884766
2019-04-12,SNAP,11.970000267028809
2019-04-12,ETSY,65.37999725341797
2019-04-15,FB,179.64999389648438
2019-04-15,TWTR,34.709999084472656
2019-04-15,SNAP,11.850000381469728
2019-04-15,ETSY,66.19999694824219
2019-04-16,FB,178.8699951171875
2019-04-16,TWTR,34.459999084472656
2019-04-16,SNAP,11.6899995803833
2019-04-16,ETSY,66.27999877929688
2019-04-17,FB,178.77999877929688
2019-04-17,TWTR,34.47999954223633
2019-04-17,SNAP,11.75
2019-04-17,ETSY,64.25
2019-04-18,FB,178.27999877929688
2019-04-18,TWTR,34.400001525878906
2019-04-18,PINS,24.399999618530277
2019-04-18,SNAP,11.670000076293944
2019-04-18,ETSY,63.400001525878906
2019-04-22,FB,181.44000244140625
2019-04-22,TWTR,34.38999938964844
2019-04-22,PINS,24.989999771118164
2019-04-22,SNAP,11.529999732971191
2019-04-22,ETSY,63.5099983215332
2019-04-23,FB,183.77999877929688
2019-04-23,TWTR,39.77000045776367
2019-04-23,PINS,25.850000381469727
2019-04-23,SNAP,11.989999771118164
2019-04-23,ETSY,65.22000122070312
2019-04-24,FB,182.5800018310547
2019-04-24,TWTR,39.290000915527344
2019-04-24,PINS,26.799999237060547
2019-04-24,SNAP,11.260000228881836
2019-04-24,ETSY,66.08000183105469
2019-04-25,FB,193.25999450683597
2019-04-25,TWTR,38.47999954223633
2019-04-25,PINS,28.799999237060547
2019-04-25,SNAP,10.789999961853027
2019-04-25,ETSY,67.8499984741211
2019-04-26,FB,191.4900054931641
2019-04-26,TWTR,38.66999816894531
2019-04-26,PINS,29.850000381469727
2019-04-26,SNAP,10.90999984741211
2019-04-26,ETSY,67.70999908447266
2019-04-29,FB,194.77999877929688
2019-04-29,TWTR,39.77999877929688
2019-04-29,PINS,34.2599983215332
2019-04-29,SNAP,11.220000267028809
2019-04-29,ETSY,69.41000366210938
2019-04-30,FB,193.3999938964844
2019-04-30,TWTR,39.90999984741211
2019-04-30,PINS,30.979999542236328
2019-04-30,SNAP,11.140000343322754
2019-04-30,ETSY,67.54000091552734
2019-05-01,FB,193.02999877929688
2019-05-01,TWTR,39.290000915527344
2019-05-01,PINS,31.229999542236328
2019-05-01,SNAP,11.199999809265137
2019-05-01,ETSY,66.79000091552734
2019-05-02,FB,192.52999877929688
2019-05-02,TWTR,39.95000076293945
2019-05-02,PINS,29.739999771118164
2019-05-02,SNAP,11.239999771118164
2019-05-02,ETSY,68.06999969482422
2019-05-03,FB,195.47000122070312
2019-05-03,TWTR,40.79999923706055
2019-05-03,PINS,28.36000061035156
2019-05-03,SNAP,11.800000190734863
2019-05-03,ETSY,69.6500015258789
2019-05-06,FB,193.8800048828125
2019-05-06,TWTR,40.22999954223633
2019-05-06,PINS,29.5
2019-05-06,SNAP,11.770000457763672
2019-05-06,ETSY,69.02999877929688
2019-05-07,FB,189.7700042724609
2019-05-07,TWTR,38.619998931884766
2019-05-07,PINS,28.690000534057617
2019-05-07,SNAP,11.170000076293944
2019-05-07,ETSY,66.97000122070312
2019-05-08,FB,189.5399932861328
2019-05-08,TWTR,38.58000183105469
2019-05-08,PINS,29.51000022888184
2019-05-08,SNAP,10.81999969482422
2019-05-08,ETSY,68.08000183105469
2019-05-09,FB,188.6499938964844
2019-05-09,TWTR,38.790000915527344
2019-05-09,PINS,28.75
2019-05-09,SNAP,10.979999542236328
2019-05-09,ETSY,60.7599983215332
2019-05-10,FB,188.33999633789065
2019-05-10,TWTR,38.45000076293945
2019-05-10,PINS,29.049999237060547
2019-05-10,SNAP,10.489999771118164
2019-05-10,ETSY,61.79999923706055
2019-05-13,FB,181.5399932861328
2019-05-13,TWTR,36.59000015258789
2019-05-13,PINS,26.6299991607666
2019-05-13,SNAP,10.109999656677246
2019-05-13,ETSY,57.22999954223633
2019-05-14,FB,180.72999572753903
2019-05-14,TWTR,36.93000030517578
2019-05-14,PINS,28.989999771118164
2019-05-14,SNAP,10.489999771118164
2019-05-14,ETSY,58.81999969482422
2019-05-15,FB,186.2700042724609
2019-05-15,TWTR,37.900001525878906
2019-05-15,PINS,28.6299991607666
2019-05-15,SNAP,10.65999984741211
2019-05-15,ETSY,61.88999938964844
2019-05-16,FB,186.9900054931641
2019-05-16,TWTR,38.29999923706055
2019-05-16,PINS,30.86000061035156
2019-05-16,SNAP,11.420000076293944
2019-05-16,ETSY,63.650001525878906
2019-05-17,FB,185.3000030517578
2019-05-17,TWTR,37.5
2019-05-17,PINS,26.700000762939453
2019-05-17,SNAP,11.489999771118164
2019-05-17,ETSY,62.77999877929688
2019-05-20,FB,182.72000122070312
2019-05-20,TWTR,37.150001525878906
2019-05-20,PINS,25.850000381469727
2019-05-20,SNAP,11.1899995803833
2019-05-20,ETSY,63.119998931884766
2019-05-21,FB,184.82000732421875
2019-05-21,TWTR,37.470001220703125
2019-05-21,PINS,25.40999984741211
2019-05-21,SNAP,11.539999961853027
2019-05-21,ETSY,65.20999908447266
2019-05-22,FB,185.32000732421875
2019-05-22,TWTR,38.58000183105469
2019-05-22,PINS,24.600000381469727
